title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score
Heavy,MOVIE,1995,R,105,"['romance', 'drama']",['US'],,tt0113280,6.8
Bill Hicks: Revelations,MOVIE,1993,,74,"['comedy', 'documentation']",['GB'],,tt0152183,8.5
Sankofa,MOVIE,1993,,124,"['drama', 'european']","['GH', 'GB', 'US', 'BF', 'DE']",,tt0108041,7.0
Bill Hicks: Relentless,MOVIE,1992,,61,['comedy'],['GB'],,,
Dale's Supermarket Sweep,SHOW,1993,TV-G,21,[],['GB'],8.0,tt0962853,7.1
Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,G,75,"['comedy', 'documentation']",['US'],,tt0500140,7.9
Children of God,MOVIE,1994,,63,['documentation'],['GB'],,tt6051792,6.4
Wild Tango,MOVIE,1993,R,124,"['drama', 'music', 'romance']","['AR', 'ES']",,tt0108291,6.7
Kuch Kuch Hota Hai,MOVIE,1998,G,185,"['drama', 'romance', 'comedy']",['IN'],,tt0172684,7.6
Oggy and the Cockroaches,SHOW,1999,TV-Y7,9,"['comedy', 'family', 'action', 'animation', 'european']",['FR'],7.0,tt0213363,7.4
H,SHOW,1998,TV-MA,25,['comedy'],['FR'],4.0,tt0173554,7.4
Herod's Law,MOVIE,1999,R,120,"['drama', 'comedy', 'crime']",['MX'],,tt0221344,7.8
Tim Allen: Rewires America,MOVIE,1991,PG,30,"['comedy', 'documentation']",['US'],,tt0294967,5.9
Heartbreak High,SHOW,1994,TV-MA,47,"['drama', 'romance', 'comedy']",['AU'],7.0,tt0108800,7.8
Dil Se..,MOVIE,1998,PG-13,163,"['drama', 'romance']",['IN'],,tt0164538,7.5
Escalona,SHOW,1991,TV-MA,44,['drama'],['CO'],1.0,,
Aashik Aawara,MOVIE,1993,,153,"['romance', 'comedy', 'drama']",['IN'],,tt0106206,4.7
Destiny,MOVIE,1997,,136,"['drama', 'romance', 'comedy', 'history']","['EG', 'FR']",,tt0119629,7.1
Oh Darling! Yeh Hai India!,MOVIE,1995,G,153,['comedy'],['IN'],,tt0114031,4.0
A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,,100,"['drama', 'sport']",['US'],,tt0103123,7.2
Bombay,MOVIE,1995,,141,"['romance', 'drama']",['IN'],,tt0112553,8.1
West Beirut,MOVIE,1998,PG-13,105,"['romance', 'war', 'comedy', 'drama', 'european']","['BE', 'FR', 'NO', 'LB']",,tt0157183,7.6
Muthu,MOVIE,1995,G,165,"['drama', 'comedy', 'romance', 'action']",['IN'],,tt0140399,7.6
Qila,MOVIE,1998,,160,"['drama', 'music', 'family']",['IN'],,tt0286907,4.8
Ram Jaane,MOVIE,1995,,172,"['action', 'drama', 'romance', 'crime']",['IN'],,tt0114231,5.4
Chamatkar,MOVIE,1992,G,171,"['comedy', 'fantasy', 'drama', 'crime']",['IN'],,tt0126234,6.5
Soldier,MOVIE,1998,,156,"['thriller', 'action', 'drama', 'romance']",['IN'],,tt0211634,6.2
Okupas,SHOW,2000,TV-MA,40,"['crime', 'drama']",['AR'],1.0,tt0289649,9.0
Hum Saath Saath Hain,MOVIE,1999,G,177,"['fantasy', 'romance', 'family', 'drama']",['IN'],,tt0216817,6.2
Kabhi Haan Kabhi Naa,MOVIE,1994,G,158,"['comedy', 'drama', 'music', 'romance']",['IN'],,tt0110222,7.6
Nightmare in Columbia County,MOVIE,1991,,100,"['drama', 'crime', 'thriller']",['US'],,tt0102537,5.5
Phir Bhi Dil Hai Hindustani,MOVIE,2000,PG-13,160,"['comedy', 'romance', 'drama']",['IN'],,tt0222270,6.1
Sam Kinison: Family Entertainment Hour,MOVIE,1991,,49,['comedy'],['US'],,,
Jeans,MOVIE,1998,,175,"['drama', 'romance', 'comedy']",['IN'],,tt0151121,6.4
Chaahat,MOVIE,1996,G,155,"['drama', 'romance']",['IN'],,tt0172234,5.5
Hum Aapke Hain Koun..!,MOVIE,1994,,206,"['romance', 'comedy', 'drama']",['IN'],,tt0110076,7.5
Maya Memsaab,MOVIE,1993,PG-13,126,"['romance', 'drama', 'thriller']",['IN'],,tt0137100,5.4
Out of Life,MOVIE,1991,,97,"['war', 'drama', 'crime', 'european']","['IT', 'LB', 'BE', 'FR']",,tt0102058,6.9
Duplicate,MOVIE,1998,PG,165,"['comedy', 'action', 'crime', 'thriller']",['IN'],,tt0164550,5.5
Govindha Govindha,MOVIE,1993,,145,"['drama', 'action', 'crime']",['IN'],,tt0192087,6.6
Damini,MOVIE,1993,,180,"['drama', 'crime']",['IN'],,tt0106655,7.8
English Babu Desi Mem,MOVIE,1996,PG,172,"['romance', 'comedy', 'drama']",['IN'],,tt0136153,4.5
Before the Flying Circus,MOVIE,2000,,55,"['comedy', 'documentation']",['GB'],,tt9230920,7.3
Sam Kinison: Live in Vegas,MOVIE,1991,,72,"['comedy', 'music', 'documentation']",['US'],,tt0249934,6.6
Anjaam,MOVIE,1994,,146,"['thriller', 'romance', 'drama']",['IN'],,tt0109134,6.6
Mann,MOVIE,1999,,174,"['drama', 'romance']",['IN'],,tt0206921,6.1
Monty Python: Live at Aspen,MOVIE,1998,,58,"['comedy', 'documentation']","['US', 'GB']",,tt0287570,7.8
Sinbad: Afros and Bellbottoms,MOVIE,1993,PG-13,59,"['comedy', 'documentation']",['US'],,tt0938331,7.8
The Other,MOVIE,1999,,106,"['drama', 'european', 'romance']","['EG', 'FR']",,tt0196355,5.9
Sinbad: Son of a Preacher Man,MOVIE,1996,,56,"['comedy', 'documentation']",['US'],,tt0938333,6.7
Children of Shatila,MOVIE,1999,,50,"['documentation', 'history']",['LB'],,tt0243174,8.2
